Pineapple Breeze,"",4.79,true,
Cherry Blast,"",4.43,true,
Vegan Blueberry Muffins with Applesauce,"",4.63,true,
Ginger Snap Cookies,"",4.65,true,
True Wings,"",4.67,true,15
